Table,Champ,Type,Nullable,Description,Contrainte
messages,recipient_id,Integer,Oui,Destinataire (nullable),FK→users.id
messages,text,String,Non,Contenu du message,
messages,category,String,Oui,"Catégorie : general, support, private",Default: general
messages,timestamp,DateTime,Oui,Horodatage,Default: utcnow
messages,is_read,Boolean,Oui,Lu (défaut: false),Default: False
notifications,id,Integer,Non,Clé primaire,PK
notifications,user_id,Integer,Non,Utilisateur cible,FK→users.id
notifications,title,String,Non,Titre,
notifications,message,Text,Non,Contenu,
notifications,type,String,Oui,"Type : INFO, WARNING, ERROR, SUCCESS",Default: INFO
notifications,timestamp,DateTime,Oui,Horodatage,Default: utcnow
notifications,is_read,Boolean,Oui,Lu (défaut: false),Default: False
parent_student,parent_id,Integer,Non,Parent,FK→parents.id
parent_student,student_id,Integer,Non,Élève,FK→students.id
